geoid,landkreis,stadtkreis
10812066,Oberspreewald-Lausitz,FALSE
10812067,Oder-Spree,FALSE
10812068,Ostprignitz-Ruppin,FALSE
10812069,Potsdam-Mittelmark,FALSE
10812070,Prignitz,FALSE
10812071,Spree-Neiße,FALSE
10812072,Teltow-Fläming,FALSE
10812073,Uckermark,FALSE
10813001,Greifswald,TRUE
10813002,Neubrandenburg,TRUE
10813003,Rostock,TRUE
10813004,Schwerin,TRUE
10813005,Stralsund,TRUE
10813006,Wismar,TRUE
10813051,Bad Doberan,FALSE
10813052,Demmin,FALSE
10813053,Güstrow,FALSE
10813054,Ludwigslust,FALSE
10813055,Mecklenburg-Strelitz,FALSE
10813056,Müritz,FALSE
10813057,Nordvorpommern,FALSE
10813058,Nordwestmecklenburg,FALSE
10813059,Ostvorpommern,FALSE
10813060,Parchim,FALSE
10813061,Rügen,FALSE
10813062,Uecker-Randow,FALSE
10814161,"Chemnitz, Stadt",FALSE
10814166,"Plauen, Stadt",FALSE
10814167,"Zwickau, Stadt",FALSE
10814171,Annaberg,FALSE
10814173,Chemnitzer Land,FALSE
10814177,Freiberg,FALSE
10814178,Vogtlandkreis,FALSE
10814181,Mittlerer Erzgebirgskreis,FALSE
10814182,Mittweida,FALSE
10814188,Stollberg,FALSE
10814191,Aue-Schwarzenberg,FALSE
10814193,Zwickauer Land,FALSE
10814262,"Dresden, Stadt",TRUE
10814263,"Görlitz, Stadt",FALSE
10814264,"Hoyerswerda, Stadt",FALSE
10814272,Bautzen,FALSE
10814280,Meißen,FALSE
10814284,Niederschles. Oberlausitzkreis,FALSE
10814285,Riesa-Großenhain,FALSE
10814286,Löbau-Zittau,FALSE
10814287,Sächsische Schweiz,FALSE
10814290,Weißeritzkreis,FALSE
10814292,Kamenz,FALSE
10814365,"Leipzig, Stadt",TRUE
10814374,Delitzsch,FALSE
10814375,Döbeln,FALSE
10814379,Leipziger Land,FALSE
10814383,Muldentalkreis,FALSE
10814389,Torgau-Oschatz,FALSE
10815101,"Dessau, Stadt",TRUE
10815151,Anhalt-Zerbst,FALSE
10815153,Bernburg,FALSE
10815154,Bitterfeld,FALSE
10815159,Köthen,FALSE
10815171,Wittenberg,FALSE
10815202,"Halle (Saale), Stadt",TRUE
10815256,Burgenlandkreis,FALSE
10815260,Mansfelder Land,FALSE
10815261,Merseburg-Querfurt,FALSE
10815265,Saalkreis,FALSE
10815266,Sangerhausen,FALSE
10815268,Weißenfels,FALSE
10815303,"Magdeburg, Stadt",TRUE
10815352,Aschersleben-Staßfurt,FALSE
10815355,Bördekreis,FALSE
10815357,Halberstadt,FALSE
10815358,Jerichower Land,FALSE
10815362,Ohrekreis,FALSE
10815363,Stendal,FALSE
10815364,Quedlinburg,FALSE
10815367,Schönebeck,FALSE
10815369,Wernigerode,FALSE
10815370,Altmarkkreis Salzwedel,FALSE
10816051,"Erfurt, Stadt",FALSE
10816052,"Gera, Stadt",FALSE
10816053,"Jena, Stadt",FALSE
10816054,"Suhl, Stadt",FALSE
10816055,"Weimar, Stadt",FALSE
10816056,"Eisenach, Stadt",FALSE
10816061,Eichsfeld,FALSE
10816062,Nordhausen,FALSE
10816063,Wartburgkreis,FALSE
10816064,Unstrut-Hainich-Kreis,FALSE
10816065,Kyffhäuserkreis,FALSE
10816066,Schmalkalden-Meiningen,FALSE
10816067,Gotha,FALSE
10816068,Sömmerda,FALSE
10816069,Hildburghausen,FALSE
10816070,Ilm-Kreis,FALSE
10816071,Weimarer Land,FALSE
10816072,Sonneberg,FALSE
10816073,Saalfeld-Rudolstadt,FALSE
10816074,Saale-Holzland-Kreis,FALSE
10816075,Saale-Orla-Kreis,FALSE
10816076,Greiz,FALSE
10816077,Altenburger Land,FALSE
